rebalance_month,holding_month,stock_1,stock_2,stock_3,stock_4,stock_5,stock_6,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,actual_1,actual_2,actual_3,actual_4,actual_5,actual_6,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6
202501,202502,86580,18726,11762,14541,14702,86783,0.0185315109752078,0.0185315109752078,0.0185315109752078,0.0185315109752078,0.0185315109752078,0.0185315109752078,0.037093,-0.024427,-0.104758,0.071612,-0.124846,0.055475,0.0,0.17794200527673748,0.3260085852002458,0.4,3.222348464770657e-17,0.09604940952301676
202502,202503,86580,78975,57665,86456,75186,13721,-0.0299431880288636,-0.0299431880288636,-0.0299431880288636,-0.0299431880288636,-0.0299431880288636,-0.0299431880288636,-0.13573,-0.003156,-0.200129,-0.039085,-0.019117,-0.001056,0.4,0.20000000000000118,0.0,0.0,0.3999999999999993,2.0118800934903948e-16
202503,202504,84398,66181,65875,66093,89071,86783,-0.0240013469925483,-0.0240013469925483,-0.0240013469925483,-0.0240013469925483,-0.0240013469925483,-0.0240013469925483,-0.01217,-0.019872,-0.016827,-0.01371,-0.0398339999999999,0.103376,2.220446049250313e-16,0.31652250695012596,5.338023947495646e-16,6.661338147750939e-16,0.28347749304987324,0.39999999999999947
202504,202505,84398,92027,77178,57665,89469,14541,0.026611965579873,0.026611965579873,0.026611965579873,0.026611965579873,0.026611965579873,0.026611965579873,0.059045,-0.000174,-0.025759,0.070491,-0.016178,0.013309,0.17434286119380196,0.39999999999979047,1.6459229868941075e-13,1.321499339225615e-13,0.39999999999984837,0.02565713880626242
202505,202506,84398,77178,19383,18163,88360,21619,0.0263864118244648,0.0263864118244648,0.0263864118244648,0.0263864118244648,0.0263864118244648,0.0263864118244648,0.047994,0.100047,-3.300000000000004e-05,-0.065617,0.282528,0.058626,0.322715545316231,0.15920029305904804,0.4,0.11808416161614167,0.0,0.0
202506,202507,84398,57665,77178,20067,66181,85765,0.0143549861268139,0.0143549861268139,0.0143549861268139,0.0143549861268139,0.0143549861268139,0.0143549861268139,0.019631,0.04798,-0.081888,0.236578,-0.001027,-0.001448,0.4,0.0,0.13016686848222778,3.1904658772873685e-17,0.0698331315177721,0.39999999999999997
202507,202508,84398,62092,15579,89061,22111,86454,0.0249732656631532,0.0249732656631532,0.0249732656631532,0.0249732656631532,0.0249732656631532,0.0249732656631532,0.01672,0.049741,0.114503,0.018239,0.079574,0.032664,0.4,0.007017791728690095,0.05193711548189178,0.013475608465731157,0.39999999999999997,0.12756948432368692
202508,202509,84398,78975,16968,75510,14541,70519,0.017955218827525,0.017955218827525,0.017955218827525,0.017955218827525,0.017955218827525,0.017955218827525,0.032306,0.020553,-0.019871,-0.014374,-0.036364,0.047751,0.4,0.2546168304392759,0.0021019717538276086,1.1661272724626682e-16,0.29766625028380983,0.04561494752308617
202509,202510,84398,20067,89071,91233,66181,93268,0.0234543621153309,0.0234543621153309,0.0234543621153309,0.0234543621153309,0.0234543621153309,0.0234543621153309,0.020137,0.119691,0.017354,-0.031964,-0.06688,-0.139616,0.39999999999999897,0.007132166254434149,0.05135130031467398,0.34754621061071084,8.581277102879446e-16,0.19397032282018123
202510,202511,84398,86456,55976,66093,66384,86451,0.0207972947216623,0.0207972947216623,0.0207972947216623,0.0207972947216623,0.0207972947216623,0.0207972947216623,-0.00105,-0.011835,0.089212,0.0483129999999999,0.084344,0.089894,0.35487230471244297,1.0480648699757416e-16,0.11623497631370559,0.12889271897385132,0.0,0.4
202511,202512,84398,11850,89129,15358,19561,19383,0.0048862247696688,0.0048862247696688,0.0048862247696688,0.0048862247696688,0.0048862247696688,0.0048862247696688,-0.002628,0.03473,0.023789,0.011287,0.1453829999999999,4.99999999999997e-05,0.2980733074230948,0.14416547335901217,0.15776121921789116,0.0,0.0,0.4
