PERMNO,HdrCUSIP,Ticker,PERMCO,MthCalDt,MthPrc,MthCap,MthRet,ShrOut,MthPrc_Abs,DateKey,Mkt-RF,SMB,HML,RMW,CMA,RF,ExcessRet,y_next,ret_lag1,ret_lag2,ret_lag3,history_len,log_size,predicted_return,rank
10026,46603210,JJSF,7976,2022-01-31,151.69,2898795.9,-0.039694,19110,151.69,202201,-0.0615,-0.0401,0.1286,0.0077,0.0773,0.0,-0.039694,0.079306,0.161156,-0.074348,-0.034485,321,14.8798060018379,0.03944753041670041,3202.0
10032,72913210,PLXS,7980,2022-01-31,77.52,2170327.44,-0.191574,27997,77.52,202201,-0.0615,-0.0401,0.1286,0.0077,0.0773,0.0,-0.191574,0.050955,0.139548,-0.036418,-0.023375,321,14.590388608142502,0.03944753041670041,3203.0
10044,77467X10,RMCF,7992,2022-01-31,7.912,48896.16,0.007898,6180,7.912,202201,-0.0615,-0.0401,0.1286,0.0077,0.0773,0.0,0.007898,-0.007836,-0.076571,-0.02411,0.177027,286,10.797454144772148,0.043916575026239295,2950.0
10051,41043F20,HNGR,7999,2022-01-31,18.13,701794.17,0.0,38709,18.13,202201,-0.0615,-0.0401,0.1286,0.0077,0.0773,0.0,0.0,-0.000552,0.074589,-0.096895,-0.149362,255,13.461395434886716,0.038864310791901724,3716.0
10065,00621210,ADX,20023,2022-01-31,18.44,2047337.88,-0.049974,111027,18.44,202201,-0.0615,-0.0401,0.1286,0.0077,0.0773,0.0,-0.049974,-0.029364,0.029062,0.019589,0.071212,321,14.53205091208732,0.050495258668391926,427.0
10104,68389X10,ORCL,8045,2022-01-31,81.16,216733478.52,-0.065924,2670447,81.16,202201,-0.0615,-0.0401,0.1286,0.0077,0.0773,0.0,-0.065924,-0.063948,-0.039002,-0.054201,0.104846,321,19.194178947051935,0.047393287475396256,2212.0
10026,46603210,JJSF,7976,2022-02-28,163.72,3128689.2,0.079306,19110,163.72,202202,-0.0227999999999999,0.0286,0.0306,-0.0203,0.0302999999999999,0.0,0.079306,-0.048821,-0.039694,0.161156,-0.074348,322,14.95612468885852,0.05904071431858119,241.0
10032,72913210,PLXS,7980,2022-02-28,81.47,2289062.59,0.050955,28097,81.47,202202,-0.0227999999999999,0.0286,0.0306,-0.0203,0.0302999999999999,0.0,0.050955,0.004173,-0.191574,0.139548,-0.036418,322,14.643652942379129,0.03870337863891461,330.0
10044,77467X10,RMCF,7992,2022-02-28,7.85,48803.45,-0.007836,6217,7.85,202202,-0.0227999999999999,0.0286,0.0306,-0.0203,0.0302999999999999,0.0,-0.007836,-0.038217,0.007898,-0.076571,-0.02411,287,10.795556286063654,0.03692531201714943,553.0
10051,41043F20,HNGR,7999,2022-02-28,18.12,701407.08,-0.000552,38709,18.12,202202,-0.0227999999999999,0.0286,0.0306,-0.0203,0.0302999999999999,0.0,-0.000552,0.011589,0.0,0.074589,-0.096895,256,13.460843710734787,0.03692531201714943,554.0
10065,00621210,ADX,20023,2022-02-28,17.85,2103247.65,-0.029364,117829,17.85,202202,-0.0227999999999999,0.0286,0.0306,-0.0203,0.0302999999999999,0.0,-0.029364,0.033053,-0.049974,0.029062,0.019589,322,14.558993208094,0.03692531201714943,555.0
10104,68389X10,ORCL,8045,2022-02-28,75.97,202873858.59,-0.063948,2670447,75.97,202202,-0.0227999999999999,0.0286,0.0306,-0.0203,0.0302999999999999,0.0,-0.063948,0.088982,-0.065924,-0.039002,-0.054201,322,19.12809495760945,0.03692531201714943,556.0
10026,46603210,JJSF,7976,2022-03-31,155.1,2973732.3,-0.048821,19173,155.1,202203,0.0308,-0.0210999999999999,-0.019,-0.015,0.0321,0.0,-0.048821,-0.034816,0.079306,-0.039694,0.161156,323,14.905328388500884,0.09313411647806168,503.0
10032,72913210,PLXS,7980,2022-03-31,81.81,2298615.57,0.004173,28097,81.81,202203,0.0308,-0.0210999999999999,-0.019,-0.015,0.0321,0.0,0.004173,-0.00819,0.050955,-0.191574,0.139548,323,14.647817573582186,0.09313411647806168,504.0
10044,77467X10,RMCF,7992,2022-03-31,7.55,46938.35,-0.038217,6217,7.55,202203,0.0308,-0.0210999999999999,-0.019,-0.015,0.0321,0.0,-0.038217,-0.124503,-0.007836,0.007898,-0.076571,288,10.756590317530272,0.08228733931008513,5004.0
10051,41043F20,HNGR,7999,2022-03-31,18.33,709664.28,0.011589,38716,18.33,202203,0.0308,-0.0210999999999999,-0.019,-0.015,0.0321,0.0,0.011589,-0.10311,-0.000552,0.0,0.074589,257,13.472547292120591,0.0872871018647302,3482.0
10065,00621210,ADX,20023,2022-03-31,18.44,2172766.76,0.033053,117829,18.44,202203,0.0308,-0.0210999999999999,-0.019,-0.015,0.0321,0.0,0.033053,-0.088395,-0.029364,-0.049974,0.029062,323,14.5915119179968,0.08987498237285242,1952.0
10104,68389X10,ORCL,8045,2022-03-31,82.73,220736628.61,0.088982,2668157,82.73,202203,0.0308,-0.0210999999999999,-0.019,-0.015,0.0321,0.0,0.088982,-0.109295,-0.063948,-0.065924,-0.039002,323,19.212480823065626,0.0892838376359642,2603.0
10026,46603210,JJSF,7976,2022-04-29,149.7,2870497.5,-0.034816,19175,149.7,202204,-0.0941,-0.0034999999999999,0.0617999999999999,0.0341,0.0592,0.0,-0.034816,-0.143787,-0.048821,0.079306,-0.039694,324,14.86999591766104,0.026763662865102823,3359.0
10028,29402E10,ELA,7978,2022-04-29,5.43,146202.75,0.165236,26925,5.43,202204,-0.0941,-0.0034999999999999,0.0617999999999999,0.0341,0.0592,0.0,0.165236,-0.024259,-0.04381,-0.161342,0.203846,46,11.892749635970434,0.02610435284665889,4440.0
10032,72913210,PLXS,7980,2022-04-29,81.14,2260479.26,-0.00819,27859,81.14,202204,-0.0941,-0.0034999999999999,0.0617999999999999,0.0341,0.0592,0.0,-0.00819,0.044807,0.004173,0.050955,-0.191574,324,14.631087410713414,0.026763662865102823,3360.0
10044,77467X10,RMCF,7992,2022-04-29,6.61,41094.37,-0.124503,6217,6.61,202204,-0.0941,-0.0034999999999999,0.0617999999999999,0.0341,0.0592,0.0,-0.124503,0.02088,-0.038217,-0.007836,0.007898,289,10.623626408132932,0.025521600018878963,4554.0
10051,41043F20,HNGR,7999,2022-04-29,16.44,641636.76,-0.10311,39029,16.44,202204,-0.0941,-0.0034999999999999,0.0617999999999999,0.0341,0.0592,0.0,-0.10311,-0.039838,0.011589,-0.000552,0.0,258,13.371777628157528,0.026763662865102823,3361.0
10065,00621210,ADX,20023,2022-04-29,16.81,1981428.32,-0.088395,117872,16.81,202204,-0.0941,-0.0034999999999999,0.0617999999999999,0.0341,0.0592,0.0,-0.088395,-0.009194,0.033053,-0.029364,-0.049974,324,14.49932851634312,0.030921533663204225,1542.0
10026,46603210,JJSF,7976,2022-05-31,128.22,2458618.5,-0.143487,19175,128.22,202205,-0.0033,-0.0003,0.0843999999999999,0.0155,0.0395,0.0003,-0.143787,0.094077,-0.034816,-0.048821,0.079306,325,14.715110164794568,0.0027290767554786753,1.0
10028,29402E10,ELA,7978,2022-05-31,5.2999,142699.81,-0.023959,26925,5.2999,202205,-0.0033,-0.0003,0.0843999999999999,0.0155,0.0395,0.0003,-0.024259,0.344708,0.165236,-0.04381,-0.161342,47,11.86849847199943,0.0027290767554786753,2.0
10032,72913210,PLXS,7980,2022-05-31,84.8,2350910.4,0.045107,27723,84.8,202205,-0.0033,-0.0003,0.0843999999999999,0.0155,0.0395,0.0003,0.044807,-0.074892,-0.00819,0.004173,0.050955,325,14.670313215354009,0.0027290767554786753,3.0
10044,77467X10,RMCF,7992,2022-05-31,6.75,41944.5,0.02118,6214,6.75,202205,-0.0033,-0.0003,0.0843999999999999,0.0155,0.0395,0.0003,0.02088,0.020141,-0.124503,-0.038217,-0.007836,290,10.644102594837433,0.0027290767554786753,4.0
10051,41043F20,HNGR,7999,2022-05-31,15.79,616267.91,-0.039538,39029,15.79,202205,-0.0033,-0.0003,0.0843999999999999,0.0155,0.0395,0.0003,-0.039838,-0.093697,-0.10311,0.011589,-0.000552,259,13.331437066797044,0.0027290767554786753,5.0
10065,00621210,ADX,20023,2022-05-31,16.61,1957853.92,-0.008894,117872,16.61,202205,-0.0033,-0.0003,0.0843999999999999,0.0155,0.0395,0.0003,-0.009194,-0.07706,-0.088395,0.033053,-0.029364,325,14.487359492547798,0.0027290767554786753,6.0
10026,46603210,JJSF,7976,2022-06-30,139.66,2679237.44,0.094677,19184,139.66,202206,-0.084,0.0133,-0.06,0.0176,-0.0458,0.0006,0.094077,-0.0305149999999999,-0.143787,-0.034816,-0.048821,326,14.801042774685184,0.01301793908354603,4851.0
10028,29402E10,ELA,7978,2022-06-30,7.13,191975.25,0.345308,26925,7.13,202206,-0.084,0.0133,-0.06,0.0176,-0.0458,0.0006,0.344708,-0.068121,-0.024259,0.165236,-0.04381,48,12.165121736450796,0.03265285811559449,3094.0
10032,72913210,PLXS,7980,2022-06-30,78.5,2176255.5,-0.074292,27723,78.5,202206,-0.084,0.0133,-0.06,0.0176,-0.0458,0.0006,-0.074892,0.196015,0.044807,-0.00819,0.004173,326,14.593116297344514,0.03337974146676055,1244.0
10044,77467X10,RMCF,7992,2022-06-30,6.89,42835.13,0.020741,6217,6.89,202206,-0.084,0.0133,-0.06,0.0176,-0.0458,0.0006,0.020141,-0.0196679999999999,0.02088,-0.124503,-0.038217,291,10.665113839294904,0.03288906092153308,2107.0
10051,41043F20,HNGR,7999,2022-06-30,14.32,558895.28,-0.093097,39029,14.32,202206,-0.084,0.0133,-0.06,0.0176,-0.0458,0.0006,-0.093697,0.295988,-0.039838,-0.10311,0.011589,260,13.233717400061993,0.03240526835759816,3271.0
